#Horror;3.3;101;Drama|Horror|Mystery|Thriller;Tara Subkoff;Timothy Hutton;Balthazar Getty;Lydia Hearst;bullying|cyberbullying|girl|internet|throat slitting
Rockaway;4.6;90;Action|Crime|Drama|Thriller;Jeff Crook;Nicholas Gonzalez;Mario Cimarro;Ricardo Chavira;one word title
Rocket Singh: Salesman of the Year;7.5;150;Comedy|Drama;Shimit Amin;Ranbir Kapoor;Shazahn Padamsee;Gauhar Khan;boss|computer|honesty|sales|salesman
RocknRolla;7.3;114;Action|Crime|Thriller;Guy Ritchie;Tom Hardy;Gerard Butler;Tom Wilkinson;accountant|finger gun|homosexual|killed in an elevator|painting
Rocky;8.1;145;Drama|Sport;John G. Avildsen;Sylvester Stallone;Burgess Meredith;Carl Weathers;boxer|hometown hero|philadelphia pennsylvania|protective male|training
Rocky Balboa;7.2;139;Drama|Sport;Sylvester Stallone;Sylvester Stallone;Burt Young;Mike Tyson;boxing|fight|heavyweight champion|restaurant|retired boxer
Rodeo Girl;5.7;108;Family;Joel Paul Reisig;Carrie Bradstreet;Joel Paul Reisig;Yassie Hawkes;
Roger & Me;7.5;91;Documentary;Michael Moore;Michael Moore;Pat Boone;Bob Eubanks;factory|flint michigan|general motors|michigan|quest
Rogue;6.8;50;Action|Crime|Drama|Thriller;;Cole Hauser;Sarah Carter;Derek Luke;cheating wife|extramarital affair|female lead|undercover|unfaithfulness
Role Models;6.9;101;Comedy;David Wain;Joe Lo Truglio;Ken Marino;Bobb'e J. Thompson;absent father|big brother|community service|live action role playing|peter pan syndrome
Roll Bounce;6;112;Comedy|Drama|Music|Romance;Malcolm D. Lee;Jurnee Smollett-Bell;Brandon T. Jackson;Shad Moss;1970s|boy|competition|roller skates|tubesocks
Rollerball;3;98;Action|Sci-Fi|Sport;John McTiernan;LL Cool J;Chris Klein;Andrew Bryniarski;ball|blood|skating|song|year 2005
Romance & Cigarettes;6.3;105;Comedy|Musical|Romance;John Turturro;Kate Winslet;Steve Buscemi;Eddie Izzard;anal sex|death|dream|poem|sex
Romantic Schemer;5.1;;Romance;Valentine;Diane Sorrentino;Valentine;;
Romeo + Juliet;6.8;120;Drama|Romance;Baz Luhrmann;Leonardo DiCaprio;Harold Perrineau;Brian Dennehy;hawaiian shirt|love|shakespeare adaptation|shakespeare play|star crossed lovers
Romeo Is Bleeding;6.6;100;Action|Crime|Drama|Thriller;Peter Medak;Gary Oldman;Michael Wincott;Lena Olin;detective|police|protection|russian|sergeant
Romeo Must Die;6.1;115;Action|Crime|Thriller;Andrzej Bartkowiak;Jet Li;Delroy Lindo;Aaliyah;death|hong kong|kung fu|prison|waterfront
Ronin;7.3;122;Action|Adventure|Crime|Thriller;John Frankenheimer;Robert De Niro;Natascha McElhone;Michael Lonsdale;case|ex kgb|ronin|russian|suitcase
Room;8.3;118;Drama;Lenny Abrahamson;Joan Allen;Jacob Tremblay;Cas Anvar;based on novel|escape|imprisonment|kidnapping|mother son relationship
Rosemary's Baby;8;136;Drama|Horror;Roman Polanski;John Cassavetes;Mia Farrow;Charles Grodin;devil worship|incubus|paranoia|raped by a demon|satanism
Rosewater;6.6;103;Biography|Drama;Jon Stewart;Numan Acar;Claire Foy;Haluk Bilginer;based on true story|hijab|journalism|prison|reference to mahmoud ahmedinejad
Rotor DR1;3.4;98;Family|Sci-Fi;Chad Kapper;Tom E. Nicholson;Natalie Welch;Christian Kapper;drone|playing with gun|post apocalypse|road trip|working class family
Rounders;7.4;121;Crime|Drama;John Dahl;Matt Damon;Martin Landau;Gretchen Mol;breasts|cult film|loan shark|poker|reference to christy turlington
Royal Kill;3.2;90;Action|Thriller;Babar Ahmed;Lalaine;Alexander Wraith;Darren Kendrick;assassin|female assassin|kingdom|martial arts|mission
Rubber;5.8;82;Comedy|Fantasy|Horror;Quentin Dupieux;Haley Ramm;Jack Plotnick;Cecelia Antoinette;desert|dump|show|spectator|tire
Ruby in Paradise;7.2;114;Drama|Romance;Victor Nunez;Allison Dean;Todd Field;Dorothy Lyman;desire|florida|identity|resort town|sales
Rudderless;7.5;105;Comedy|Drama|Music;William H. Macy;Billy Crudup;Felicity Huffman;David Adam Flannery;demo tape|directed by cast member|grieving father|guitar|guitar player
Rugrats Go Wild;5.6;80;Adventure|Animation|Comedy|Family|Fantasy|Musical;John Eng;Elizabeth Daily;Cree Summer;Nancy Cartwright;kid|oxygen|rugrats|trapped underwater|underwater
Rugrats in Paris: The Movie;6.1;78;Adventure|Animation|Comedy|Family|Romance;Stig Bergqvist;Elizabeth Daily;Casey Kasem;Debbie Reynolds;amusement park|baby|france|paris france|villain
Rules of Engagement;7.3;22;Comedy|Romance;;Bianca Kajlich;Oliver Hudson;Adhir Kalyan;fiance|fiancee|magazine editor|naivety|womanizer
Rumble in the Bronx;6.7;89;Action|Comedy;Stanley Tong;Françoise Yip;Anita Mui;Garvin Cross;fight|gang|greed|street gang|wedding
Run All Night;6.6;114;Action|Crime|Drama|Thriller;Jaume Collet-Serra;Liam Neeson;Common;Bruce McGill;death|drug dealer|limousine|limousine driver|one night
Run Lola Run;7.8;81;Crime|Drama;Tom Tykwer;Moritz Bleibtreu;Ludger Pistor;Armin Rohde;bechdel test failed|money|multiple outcomes|repeated event|subway
Run, Fatboy, Run;6.6;100;Comedy|Romance|Sport;David Schwimmer;Dylan Moran;Iddo Goldberg;India de Beaufort;blister|gym|marathon|training|wedding
Run, Hide, Die;3.7;75;Horror|Thriller;Collin Joseph Neal;Julianne Gabert;Thomas Brophy;Ronee Collins;
Runaway Bride;5.5;116;Comedy|Romance;Garry Marshall;Julia Roberts;Christopher Meloni;Hector Elizondo;bride|columnist|journalist|maryland|wedding
Runner Runner;5.6;88;Crime|Thriller;Brad Furman;Justin Timberlake;John Heard;David Costabile;costa rica|fbi agent|gambling|money|online gambling
Running Forever;8.6;88;Family;Mike Mayhall;David Raizor;Cody Howard;Martin Kove;
Running Scared;7.4;122;Action|Crime|Drama|Thriller;Wayne Kramer;Paul Walker;Chazz Palminteri;Ivana Milicevic;adult child friendship|corrupt cop|fistfight|gangster|thug
Running with Scissors;6.2;122;Comedy|Drama;Ryan Murphy;Jill Clayburgh;Joseph Cross;Dagmara Dominczyk;alcoholic|fame|therapist|writer|writing
Rush;8.1;123;Action|Biography|Drama|Sport;Ron Howard;Chris Hemsworth;Olivia Wilde;Alexandra Maria Lara;1970s|female rear nudity|formula 1|rivalry|sex with a nurse
Rush Hour;5.8;43;Action|Comedy|Crime;;Jon Foo;Aimee Garcia;Wendie Malick;
Rush Hour 2;6.6;90;Action|Comedy|Crime|Thriller;Brett Ratner;Mei Melançon;John Lone;Harris Yulin;boat|gang|hong kong|triad|vacation
Rush Hour 3;6.2;91;Action|Comedy|Crime|Thriller;Brett Ratner;Tzi Ma;Dana Ivey;Noémie Lenoir;ambassador|assassination|chinese|french|triad
Rushmore;7.7;93;Comedy|Drama;Wes Anderson;Bill Murray;Connie Nielsen;Olivia Williams;coming of age|friendship|private school|student|teacher
Rust;5.7;95;Drama;Corbin Bernsen;Corbin Bernsen;Lorne Cardinal;Kirsten Collins;
S.W.A.T.;6;117;Action|Adventure|Crime|Thriller;Clark Johnson;Jeremy Renner;Josh Charles;LL Cool J;hostage|police|prison|swat team|training
Sabotage;5.7;109;Action|Crime|Drama|Thriller;David Ayer;Mireille Enos;Martin Donovan;Maurice Compte;dea|drug cartel|kicked in the crotch|strip club|tough girl
Sabotage;5.7;109;Action|Crime|Drama|Thriller;David Ayer;Mireille Enos;Martin Donovan;Maurice Compte;dea|drug cartel|kicked in the crotch|strip club|tough girl
Sabrina, the Teenage Witch;6.6;22;Comedy|Family|Fantasy;;Nate Richert;Soleil Moon Frye;Caroline Rhea;female protagonist|hereditary gift of witchcraft|magic|supernatural|witch
Safe;6.5;94;Action|Crime|Thriller;Boaz Yakin;Jason Statham;Reggie Lee;Robert John Burke;bodyguard|gang war|russian|russian mafia|triad
Safe Haven;6.7;115;Drama|Romance|Thriller;Lasse Hallström;David Lyons;Noah Lomax;Mimi Kirkland;abusive husband|chick flick|north carolina|secret|widower
Safe House;6.8;115;Action|Crime|Mystery|Thriller;Daniel Espinosa;Denzel Washington;Ryan Reynolds;Sam Shepard;cia|cia agent|consulate|on the run|safe house
Safe Men;6.1;88;Comedy|Crime;John Hamburg;Harvey Fierstein;Michael Lerner;Josh Pais;gangster|organized crime|robbery|rosh hashanah|safecracking
Safety Not Guaranteed;7;86;Comedy|Drama|Romance;Colin Trevorrow;Mary Lynn Rajskub;Mark Duplass;Jeff Garlin;classified ad|intern|magazine|time machine|time travel
Sahara;6;124;Action|Adventure|Comedy|Thriller;Breck Eisner;Matthew McConaughey;Rainn Wilson;Delroy Lindo;beach|civil war|desert|dictator|ship
Saint John of Las Vegas;5.8;85;Comedy|Drama;Hue Rhodes;Peter Dinklage;Steve Buscemi;Romany Malco;city name in title|male frontal nudity|place name in title
Saint Ralph;7.6;98;Comedy|Drama|Sport;Michael McGowan;Campbell Scott;Adam Butcher;Gordon Pinsent;boston marathon|coma|marathon|miracles|running
Saints and Soldiers;6.8;90;Action|Adventure|Drama|War;Ryan Little;Corbin Allred;Larry Bagby;Kirby Heyborne;ardennes forest|battle of the bulge|behind enemy lines|winter|world war two in belgium
Salt;6.4;101;Action|Crime|Mystery|Thriller;Phillip Noyce;Angelina Jolie Pitt;Andre Braugher;August Diehl;cia|on the run|russian|russian spy|strong female lead
Salvador;7.5;122;Drama|History|Thriller|War;Oliver Stone;Jim Belushi;John Savage;Juan Fernández;1980s|el salvador|political thriller|reagan administration|war journalism
Salvation Boulevard;5.3;96;Action|Comedy|Drama|Thriller;George Ratliff;Jim Gaffigan;Cree Kelly;Mike Eshaq;cross|doused with gasoline|pastor|security guard|shower
Samsara;8.5;102;Documentary|Music;Ron Fricke;Collin Alfredo St. Dic;Balinese Tari Legong Dancers;Puti Sri Candra Dewi;hall of mirrors|mont saint michel france|palace of versailles|turkey the country|yellowstone national park
San Andreas;6.1;114;Action|Adventure|Drama|Thriller;Brad Peyton;Dwayne Johnson;Ioan Gruffudd;Archie Panjabi;disaster movie|earthquake|journey|natural disaster|san andreas fault
Sanctuary. Quite a Conundrum;5.4;82;Comedy|Horror|Thriller;Thomas L. Phillips;Julianna Pitt;Joe Coffey;John Lucas;nudity|party|pirate|swimsuit|three word title
Sanctum;5.9;108;Adventure|Drama|Thriller;Alister Grierson;Ioan Gruffudd;Rhys Wakefield;Richard Roxburgh;cave|expedition|panic|rebreather|underwater
Sands of Iwo Jima;7.2;109;Action|Drama|Romance|War;Allan Dwan;James Brown;Richard Jaeckel;Forrest Tucker;battle|combat|heroic military|sergeant|tarawa
Sarah's Key;7.5;111;Drama|War;Gilles Paquet-Brenner;Kristin Scott Thomas;Aidan Quinn;Arben Bajraktaraj;apartment|escape|jewish family|journalist|key
Sardaar Ji;6.6;141;Romance;Rohit Jugraj;Bhavkhandan Singh Rakhra;Neeru Bajwa;Diljit Dosanjh;
Sausage Party;7.5;89;Adventure|Animation|Comedy|Fantasy;Greg Tiernan;James Franco;Salma Hayek;Anders Holm;bread|coarse language|f word|sausage|tricked into lesbian sex
Savage Grace;5.9;97;Drama;Tom Kalin;Eddie Redmayne;Elena Anaya;Stephen Dillane;incest|male nudity|older man younger woman relationship|orgasm|son murders mother
Savages;6.5;141;Crime|Drama|Thriller;Oliver Stone;Demián Bichir;Shea Whigham;Gary Stretch;arms tied overhead|damsel in distress|dea|marijuana|southern california
Save the Last Dance;6.1;112;Drama|Music|Romance;Thomas Carter;Sean Patrick Thomas;Terry Kinney;Fredro Starr;dance|dancing|ghetto|hip hop|imperative in title
Saved!;6.9;92;Comedy|Drama;Brian Dannelly;Macaulay Culkin;Patrick Fugit;Eva Amurri Martino;christian|jewish|pastor|school|virginity
Saving Face;7.6;96;Comedy|Drama|Romance;Alice Wu;Joan Chen;Ato Essandoh;Jessica Hecht;chinese|chinese american|lesbian love|mother daughter relationship|surgeon
Saving Grace;7.5;60;Drama|Fantasy;;Holly Hunter;Dylan Minnette;Bokeem Woodbine;catholic|death row|inmate|oklahoma city|sexual promiscuity
Saving Grace;7.5;60;Drama|Fantasy;;Holly Hunter;Dylan Minnette;Bokeem Woodbine;catholic|death row|inmate|oklahoma city|sexual promiscuity
Saving Mr. Banks;7.5;125;Biography|Comedy|Drama|History|Music;John Lee Hancock;Tom Hanks;Ruth Wilson;B.J. Novak;author|disney|loss of father|reference to walt disney|suppression of emotion
Saving Private Perez;6;105;Adventure|Comedy|Western;Beto Gómez;Jaime Camil;Gerardo Taracena;Joaquín Cosio;conflicted hero|flashback|mission|rescue|rescue mission
Saving Private Ryan;8.6;169;Action|Drama|War;Steven Spielberg;Tom Hanks;Vin Diesel;Matt Damon;army|invasion|killed in action|normandy|soldier
Saving Silverman;5.9;96;Comedy|Crime|Romance;Dennis Dugan;Amanda Detmer;Neil Diamond;Kyle Gass;female nudity|friend|kidnapping|love|nun
Saw;7.7;103;Horror|Mystery|Thriller;James Wan;Michael Emerson;Monica Potter;Shawnee Smith;chained|flashback|killer|serial killer|surprise ending
Saw 3D: The Final Chapter;5.6;90;Horror|Mystery;Kevin Greutert;Costas Mandylor;Gina Holden;Betsy Russell;blood splatter|self help guru|sequel|support group|survivor
Saw II;6.6;95;Horror|Mystery;Darren Lynn Bousman;Emmanuelle Vaugier;Tony Nappo;Shawnee Smith;death|detective|nerve gas|serial killer|trap
Saw III;6.2;121;Horror|Mystery;Darren Lynn Bousman;Costas Mandylor;Shawnee Smith;Leigh Whannell;brutality|female full frontal nudity|female nudity|torture|trap
Saw IV;5.9;96;Horror|Mystery;Darren Lynn Bousman;Costas Mandylor;Shawnee Smith;Angus Macfadyen;detective|fbi|rape|rapist|serial rapist
Saw V;5.8;95;Horror|Mystery;David Hackl;Julie Benz;Costas Mandylor;Scott Patterson;blood splatter|jigsaw|nazi|serial killer|swastika tattoo
Saw VI;6;92;Horror|Mystery;Kevin Greutert;Costas Mandylor;Shawnee Smith;George Newbern;deception|flash photography|game of death|jigsaw|pig mask
Say It Isn't So;4.9;95;Comedy|Romance;J.B. Rogers;Eddie Cibrian;Chris Klein;Jack Plotnick;bestiality|brother sister incest|fisting|hit on the head with a pipe|wedding
Scarface;8.3;142;Crime|Drama;Brian De Palma;Al Pacino;F. Murray Abraham;Mary Elizabeth Mastrantonio;assassination attempt|capitalism|cocaine|cuban american|cuban refugee
Scary Movie 2;5.2;83;Comedy;Keenen Ivory Wayans;Natasha Lyonne;Veronica Cartwright;Andy Richter;blow job|demon|exorcism|priest|professor
Scary Movie 3;5.5;84;Comedy;David Zucker;Regina Hall;Pamela Anderson;Jenny McCarthy;crop circle|farm|orchestral music score|reference to michael jackson|videotape
Scary Movie 4;5.1;89;Comedy;David Zucker;Beau Mirchoff;Carmen Electra;Regina Hall;female nudity|male nudity|parody|reference to myspace|sequel
Scary Movie 5;3.5;88;Comedy;Malcolm D. Lee;Marisa Saks;Snoop Dogg;Molly Shannon;2010s|ape|ballet|psychic|supernatural
Schindler's List;8.9;185;Biography|Drama|History;Steven Spielberg;Liam Neeson;Embeth Davidtz;Caroline Goodall;german|german soldier|jew|jewish|nazi
School Daze;5.8;121;Comedy|Drama|Musical;Spike Lee;Tisha Campbell-Martin;Ossie Davis;Bill Nunn;beauty salon|black college|college|fraternity|sorority
School for Scoundrels;5.9;108;Comedy;Todd Phillips;Jon Heder;Sarah Silverman;Jacinda Barrett;paintball|paintball gun|pepper spray|tennis|what happened to epilogue
School of Rock;7.1;108;Comedy|Music;Richard Linklater;Miranda Cosgrove;Sarah Silverman;Mike White;battle of the bands|rock band|school teacher|substitute teacher|teacher
Scooby-Doo;4.9;86;Adventure|Comedy|Mystery;Raja Gosnell;Sarah Michelle Gellar;Linda Cardellini;Miguel A. Núñez Jr.;amusement park|island|motorcycle|scooby doo|tough girl
Scooby-Doo 2: Monsters Unleashed;4.9;93;Adventure|Comedy|Family|Fantasy|Horror|Mystery;Raja Gosnell;Sarah Michelle Gellar;Linda Cardellini;Tim Blake Nelson;ghost|masked villain|monster|museum|tv
Scoop;6.7;96;Comedy|Crime|Mystery;Woody Allen;Scarlett Johansson;Kevin McNally;Geoff Bell;english garden|fake drowning|fake parent|musical instrument|poker the card game
Scott Pilgrim vs. the World;7.5;112;Action|Comedy|Fantasy|Romance;Edgar Wright;Anna Kendrick;Kieran Culkin;Ellen Wong;band|dating|high school|hipster|rock band
Scott Walker: 30 Century Man;7.3;95;Biography|Documentary|Music;Stephen Kijak;Brian Eno;Jacques Brel;Damon Albarn;avant garde|british pop|character name in title|musician|number in title
Scream;7.2;103;Horror|Mystery;Wes Craven;David Arquette;W. Earl Brown;Roger Jackson;mask|mystery killer|slasher|teenage girl|telephone
Scream 2;6.1;120;Horror|Mystery;Wes Craven;Omar Epps;Jada Pinkett Smith;Kevin Williamson;college|ghostface|killer|killing spree|murder
Scream 3;5.5;116;Horror|Mystery;Wes Craven;Kelly Rutherford;Roger Jackson;Nancy O'Dell;death|ghostface|murder|scream|survivor
Scream 4;6.2;111;Horror|Mystery;Wes Craven;Alison Brie;Aimee Teegarden;Shenae Grimes-Beech;author|book|deputy|murder|sheriff
Scream: The TV Series;7.3;45;Crime|Drama|Horror|Mystery|Thriller;;Bex Taylor-Klaus;Bobby Campo;Jason Wiles;generation y|millennial generation|murder|teenage girl|throat slitting
Screwed;5.7;81;Comedy|Crime;Scott Alexander;Sarah Silverman;Dave Chappelle;Sherman Hemsley;chauffeur|disorganized crime|dog|ransom|slapstick
Scrooged;7;101;Comedy|Drama|Fantasy;Richard Donner;Bill Murray;Alfre Woodard;Robert Mitchum;christmas|compassion|executive|ghost|redemption
Se7en;8.6;127;Crime|Drama|Mystery|Thriller;David Fincher;Morgan Freeman;Brad Pitt;Reg E. Cathey;detective|police partner|serial killer|serial murder|seven deadly sins
Sea of Love;6.8;113;Crime|Drama|Mystery|Thriller;Harold Becker;Al Pacino;Michael O'Neill;Ellen Barkin;detective|love|single|suspect|title from song
Sea Rex 3D: Journey to a Prehistoric World;6.9;41;Documentary;Ronan Chapalain;Norbert Ferrer;Guillaume Denaiffe;Chloe Hollings;3d|imax|plesiosaur|sea|water
Seabiscuit;7.3;140;Drama|History|Sport;Gary Ross;Jeff Bridges;Michael Angarano;Michael O'Neill;horse|horse racing|jockey|limp|seabiscuit
Secondhand Lions;7.6;111;Comedy|Drama|Family;Tim McCanlies;Haley Joel Osment;Robert Duvall;Emmanuelle Vaugier;africa|eyeglasses|money|texas|veteran
Secret in Their Eyes;6.2;111;Crime|Drama|Mystery|Thriller;Billy Ray;Julia Roberts;Michael Kelly;Joe Cole;digging a grave|grave digging|investigator|police|secret
Secret Window;6.6;96;Mystery|Thriller;David Koepp;Johnny Depp;Charles S. Dutton;Timothy Hutton;adultery|extramarital affair|infidelity|unfaithfulness|writer
Secretariat;7.2;123;Biography|Drama|Family|History|Sport;Randall Wallace;Scott Glenn;Kevin Connolly;Dylan Walsh;eccentric|horse racing|newspaper clipping|stallion|triple crown
Secretary;7.1;104;Comedy|Drama|Romance;Steven Shainberg;Jeremy Davies;Stephen McHattie;Lesley Ann Warren;bdsm|employer employee relationship|hospital|mental hospital|secretary
Secrets and Lies;7.7;43;Crime|Drama;;Dan Fogler;Indiana Evans;KaDee Strickland;
See Spot Run;5.4;94;Action|Comedy|Crime|Family;John Whitesell;Leslie Bibb;Angus T. Jones;Paul Sorvino;boy|fbi|mailman|van|witness protection
Seed of Chucky;4.9;88;Comedy|Fantasy|Horror|Thriller;Don Mancini;Jason Flemyng;Billy Boyd;Hannah Spearritt;actress|killer doll|murder|vixen|vomiting
Seeking a Friend for the End of the World;6.7;101;Adventure|Comedy|Drama|Romance|Sci-Fi;Lorene Scafaria;Steve Carell;Mark Moses;Rob Huebel;candle|end of the world|letter|record|road trip
Selena;6.7;127;Biography|Drama|Music;Gregory Nava;Jon Seda;Constance Marie;Jacob Vargas;latin music|marriage|on tour|singer|tejano
Self/less;6.5;117;Action|Mystery|Sci-Fi|Thriller;Tarsem Singh;Ryan Reynolds;Derek Luke;Sandra Ellis Lafferty;cancer|elderly man|funeral|medical|transhumanism
Selma;7.5;128;Biography|Drama|History;Ava DuVernay;David Oyelowo;Tom Wilkinson;Oprah Winfrey;civil rights|courage|protest|selma alabama|u.s. politics
Semi-Pro;5.8;99;Comedy|Sport;Kent Alterman;Will Ferrell;Maura Tierney;Matt Walsh;flint michigan|merger|michigan|nba|team
Sense and Sensibility;7.7;136;Drama|Romance;Ang Lee;Alan Rickman;Kate Winslet;Tom Wilkinson;1810s|female protagonist|horseback riding|inheritance|three word title
September Dawn;5.8;111;Drama|History|Romance|Western;Christopher Cain;Jon Gries;Taylor Handley;Trent Ford;massacre|mormon|settler|utah|wagon train
Serendipity;6.9;82;Comedy|Romance;Peter Chelsom;Lilli Lavine;David Sparrow;Ann Talman;christmas|destiny|fate|love|serendipity
Serenity;8;119;Action|Adventure|Sci-Fi|Thriller;Joss Whedon;Adam Baldwin;Sean Maher;Michael Hitchcock;alliance|cannibalism|future|operative|planet
Serial Mom;6.7;95;Comedy|Crime|Thriller;John Waters;Kathleen Turner;Sam Waterston;Traci Lords;dentist|housewife|howie scream|murder|perfection
Serving Sara;5.3;99;Comedy|Romance;Reginald Hudlin;Matthew Perry;Jerry Stiller;Vincent Pastore;divorce|divorce papers|new york|process server|texas
Session 9;6.5;100;Horror|Mystery;Brad Anderson;Paul Guilfoyle;Brendan Sexton III;Larry Fessenden;abandoned asylum|abandoned hospital|asbestos|lobotomy|multiple personality
Set It Off;6.8;123;Action|Crime|Drama|Romance|Thriller;F. Gary Gray;Vivica A. Fox;Jada Pinkett Smith;Blair Underwood;bank|black comedy|main characters killed off|money|robbery
Seven Pounds;7.7;123;Drama|Romance;Gabriele Muccino;Will Smith;Rosario Dawson;Madison Pettis;boyfriend girlfriend relationship|heart|main character dies|organ donor|redemption
Seven Psychopaths;7.2;110;Comedy|Crime;Martin McDonagh;Abbie Cornish;Gabourey Sidibe;Michael Stuhlbarg;dognapping|gangster|misfiring gun|screenwriter|shih tzu
Seven Samurai;8.7;202;Action|Adventure|Drama;Akira Kurosawa;Takashi Shimura;Minoru Chiaki;Kamatari Fujiwara;16th century|battle|japan|practice|samurai
Seven Years in Tibet;7;136;Adventure|Biography|Drama|History|War;Jean-Jacques Annaud;Brad Pitt;Mako;Victor Wong;austria|dalai lama|himalaya|mountain|tibet
Seventh Son;5.5;102;Action|Adventure|Fantasy;Sergey Bodrov;Jeff Bridges;Djimon Hounsou;Olivia Williams;apprentice|demon|exorcism|master apprentice relationship|witch
Severance;6.6;90;Comedy|Horror|Thriller;Christopher Smith;Danny Dyer;Toby Stephens;Laura Harris;blood splatter|eastern europe|female nudity|pine forest|team building
Sex and the City;7;30;Comedy|Romance;;Chris Noth;Kristin Davis;Cynthia Nixon;casual sex|friendship|friendship between women|gay|singles
Sex and the City 2;4.3;146;Comedy|Drama|Romance;Michael Patrick King;Chris Noth;Liza Minnelli;Kristin Davis;abu dhabi|box office hit|muslim|nanny|united arab emirates
Sex Drive;6.5;129;Adventure|Comedy|Romance;Sean Anders;Katrina Bowden;Michael Cudlitz;Alice Greczyn;amish|friend|friendship|high school|virgin
Sex Tape;5.1;94;Comedy;Jake Kasdan;James Wilcox;Randall Park;Nat Faxon;sex in a car|sex video|sexual desire|sexuality|undressing
Sex with Strangers;4.7;105;Documentary|Drama;Harry Gantz;;;;bisexual|explicit sex|sex|stranger|swing
Sex, Lies, and Videotape;7.2;100;Drama;Steven Soderbergh;Peter Gallagher;Laura San Giacomo;Steven Brill;affair|interview|marriage|sex|videotape
Sexy Beast;7.3;89;Crime|Thriller;Jonathan Glazer;Ray Winstone;James Fox;Amanda Redman;boulder|gangster|one last job|spain|villa
Sgt. Bilko;5.7;93;Comedy;Jonathan Lynn;Austin Pendleton;Phil Hartman;Max Casella;greenland|military|revenge|soldier|u.s. soldier
Shade;6.4;101;Crime|Thriller;Damian Nieman;Glenn Plummer;Jason Cerbone;Mark De Alessandro;bar|strip club|stripper|texas hold 'em|thong
Shadow Conspiracy;4.9;103;Action|Thriller;George P. Cosmatos;Sam Waterston;Ben Gazzara;Nicholas Turturro;american president|assassin|conspiracy|president|white house
Shadow of the Vampire;6.9;92;Drama|Horror;E. Elias Merhige;Eddie Izzard;Udo Kier;Catherine McCormack;actor|breasts|film actress|nosferatu|vampire
Shadowlands;7.4;115;Biography|Drama|Romance;Richard Attenborough;Anthony Hopkins;James Frain;Julian Fellowes;author|book|england|friend|oxford
Shaft;5.9;99;Action|Crime|Thriller;John Singleton;Christian Bale;Vanessa Williams;Daniel von Bargen;blaxploitation|detective|drugs|shaft|trial
Shakespeare in Love;7.2;123;Comedy|Drama|Romance;John Madden;Tom Wilkinson;Martin Clunes;Simon Callow;actor|audition|muse|playwright|theater
Shalako;5.5;113;Western;Edward Dmytryk;Brigitte Bardot;Woody Strode;Honor Blackman;bare chested male bondage|european|female frontal nudity|topless woman|war paint
Shall We Dance;6.1;106;Comedy|Drama|Romance;Peter Chelsom;Lisa Ann Walter;Nick Cannon;Omar Benson Miller;dance|dance competition|dance lesson|love|teacher
Shallow Hal;5.9;114;Comedy|Drama|Fantasy|Romance;Bobby Farrelly;Jason Alexander;Bruce McGill;Susan Ward;dying|friend|inner beauty|love|self help guru
Shame;7.3;101;Drama;Steve McQueen;Michael Fassbender;Nicole Beharie;James Badge Dale;female frontal nudity|female nudity|male nudity|sex addict|sex addiction
Shanghai Calling;6.3;100;Comedy|Drama|Romance;Daniel Hsia;Alan Ruck;Daniel Henney;Eliza Coupe;
Shanghai Knights;6.2;114;Action|Adventure|Comedy;David Dobkin;Fann Wong;Anna-Louise Plowman;Georgina Chapman;1880s|arrow|imperial seal|murder|revenge
Shanghai Noon;6.6;110;Action|Adventure|Comedy|Western;Tom Dey;Xander Berkeley;Jason Connery;Kate Luyben;19th century|chinese|princess|rescue|travel
Shanghai Surprise;3;97;Adventure|Crime|Drama|Romance;Jim Goddard;Victor Wong;Paul Freeman;Clyde Kusatsu;china|missionary|opium|villain|year 1937
Shaolin Soccer;7.3;85;Action|Comedy|Sport;Stephen Chow;Wei Zhao;Karen Mok;Kwok-Kwan Chan;cult film|kung fu|martial arts|shaolin|soccer
Shark Lake;3.4;92;Thriller;Jerry Dugan;Melissa Bolona;Michael Aaron Milligan;James Chalke;blood|daughter|jail|police|shark
Shark Night 3D;4;90;Horror|Thriller;David R. Ellis;Chris Zylka;Joel David Moore;Katharine McPhee;lake|louisiana|redneck|shark|vacation
Shark Tale;6;90;Adventure|Animation|Comedy|Family;Bibo Bergeron;Robert De Niro;Martin Scorsese;Angelina Jolie Pitt;anchor|fish|mobster|shark|vegetarian
Sharknado;3.3;97;Horror;Anthony C. Ferrante;Ian Ziering;John Heard;Cassandra Scerbo;cult film|hurricane|school bus|shark|shark feature
Sharkskin;6.7;100;Comedy|Drama|Mystery|Romance|Thriller;Dan Perri;Travis Myers;David Proval;Carmen Argenziano;
Shattered;6.7;98;Crime|Drama|Thriller;Mike Barker;Gerard Butler;Nicholas Lea;Callum Rennie;daughter|gun|nanny|sociopath|suburb
Shattered Glass;7.2;99;Drama|History;Billy Ray;Hayden Christensen;Rosario Dawson;Cas Anvar;fabricated facts|journalist|stephen glass|the new republic|writer
Shaun of the Dead;8;99;Comedy|Horror;Edgar Wright;Peter Serafinowicz;Dylan Moran;Rafe Spall;british horror|pub|record collection|zombie|zombie apocalypse
Shaun the Sheep;8.3;7;Animation|Comedy|Family;;Justin Fletcher;John Sparkes;Kate Harbour;farmer|mischief|no dialog|sheep|sheepdog
